key,value
meta.run_id,d3f9a17c4b02
meta.command,monitor
meta.environment,workstation
meta.dry_run,False
meta.generated_at,2026-01-15T09:14:15+00:00
meta.duration_s,3.336
meta.duration_human,3s
system.hostname,demo-workstation
system.os_name,Windows
system.os_release,11
system.os_version,10.0.22631
system.architecture,AMD64
system.platform_summary,Windows-11-10.0.22631-SP0
system.python_version,3.12.0
system.cpu_physical_cores,4
system.cpu_logical_cores,8
system.total_memory_bytes,17179869184
system.total_swap_bytes,4294967296
system.boot_time,2026-01-15T01:42:30+00:00
system.collected_at,2026-01-15T09:14:15+00:00
health.score,88
health.grade,B
health.factors,[1 items]
health.factors[0],High memory (95%)
health.suggestions,[1 items]
health.suggestions[0],Close unused applications or add RAM; check for leaks.
sections.monitor.timestamp,2026-01-15T09:14:13+00:00
sections.monitor.cpu_percent,68.3
sections.monitor.per_cpu_percent,[8 items]
sections.monitor.per_cpu_percent[0],62.4
sections.monitor.per_cpu_percent[1],47.5
sections.monitor.per_cpu_percent[2],65.6
sections.monitor.per_cpu_percent[3],49.4
sections.monitor.per_cpu_percent[4],71.2
sections.monitor.per_cpu_percent[5],58.8
sections.monitor.per_cpu_percent[6],74.1
sections.monitor.per_cpu_percent[7],60.3
sections.monitor.load_average,
sections.monitor.memory_percent,94.8
sections.monitor.memory_used,16287141888
sections.monitor.memory_total,17179869184
sections.monitor.swap_percent,12.5
sections.monitor.disks,[1 items]
sections.monitor.disks[0].path,C:\
sections.monitor.disks[0].fstype,NTFS
sections.monitor.disks[0].total,512110190592
sections.monitor.disks[0].used,268435456000
sections.monitor.disks[0].free,243674734592
sections.monitor.disks[0].percent,52.4
sections.monitor.net_bytes_sent,421215894
sections.monitor.net_bytes_recv,375439477
sections.monitor.top_cpu_processes,[10 items]
sections.monitor.top_cpu_processes[0].pid,4312
sections.monitor.top_cpu_processes[0].name,app-server.exe
sections.monitor.top_cpu_processes[0].cpu_percent,84.8
sections.monitor.top_cpu_processes[0].memory_percent,3.1
sections.monitor.top_cpu_processes[0].memory_rss,532676608
sections.monitor.top_cpu_processes[1].pid,2288
sections.monitor.top_cpu_processes[1].name,web-browser.exe
sections.monitor.top_cpu_processes[1].cpu_percent,37.5
sections.monitor.top_cpu_processes[1].memory_percent,4.54
sections.monitor.top_cpu_processes[1].memory_rss,780140544
sections.monitor.top_cpu_processes[2].pid,6104
sections.monitor.top_cpu_processes[2].name,code-editor.exe
sections.monitor.top_cpu_processes[2].cpu_percent,20.0
sections.monitor.top_cpu_processes[2].memory_percent,7.55
sections.monitor.top_cpu_processes[2].memory_rss,1297612800
sections.monitor.top_cpu_processes[3].pid,3760
sections.monitor.top_cpu_processes[3].name,database.exe
sections.monitor.top_cpu_processes[3].cpu_percent,13.3
sections.monitor.top_cpu_processes[3].memory_percent,9.82
sections.monitor.top_cpu_processes[3].memory_rss,1687060480
sections.monitor.top_cpu_processes[4].pid,5496
sections.monitor.top_cpu_processes[4].name,python.exe
sections.monitor.top_cpu_processes[4].cpu_percent,8.4
sections.monitor.top_cpu_processes[4].memory_percent,0.76
sections.monitor.top_cpu_processes[4].memory_rss,130547712
sections.monitor.top_cpu_processes[5].pid,1180
sections.monitor.top_cpu_processes[5].name,indexer.exe
sections.monitor.top_cpu_processes[5].cpu_percent,4.1
sections.monitor.top_cpu_processes[5].memory_percent,0.94
sections.monitor.top_cpu_processes[5].memory_rss,161480704
sections.monitor.top_cpu_processes[6].pid,2044
sections.monitor.top_cpu_processes[6].name,backup-agent.exe
sections.monitor.top_cpu_processes[6].cpu_percent,2.4
sections.monitor.top_cpu_processes[6].memory_percent,0.41
sections.monitor.top_cpu_processes[6].memory_rss,70451200
sections.monitor.top_cpu_processes[7].pid,1520
sections.monitor.top_cpu_processes[7].name,desktop-shell.exe
sections.monitor.top_cpu_processes[7].cpu_percent,2.0
sections.monitor.top_cpu_processes[7].memory_percent,0.28
sections.monitor.top_cpu_processes[7].memory_rss,48103424
sections.monitor.top_cpu_processes[8].pid,3684
sections.monitor.top_cpu_processes[8].name,antivirus.exe
sections.monitor.top_cpu_processes[8].cpu_percent,1.7
sections.monitor.top_cpu_processes[8].memory_percent,2.27
sections.monitor.top_cpu_processes[8].memory_rss,389939200
sections.monitor.top_cpu_processes[9].pid,908
sections.monitor.top_cpu_processes[9].name,log-collector.exe
sections.monitor.top_cpu_processes[9].cpu_percent,0.9
sections.monitor.top_cpu_processes[9].memory_percent,0.19
sections.monitor.top_cpu_processes[9].memory_rss,32636928
sections.monitor.top_memory_processes,[10 items]
sections.monitor.top_memory_processes[0].pid,3760
sections.monitor.top_memory_processes[0].name,database.exe
sections.monitor.top_memory_processes[0].cpu_percent,13.3
sections.monitor.top_memory_processes[0].memory_percent,9.82
sections.monitor.top_memory_processes[0].memory_rss,1687060480
sections.monitor.top_memory_processes[1].pid,6104
sections.monitor.top_memory_processes[1].name,code-editor.exe
sections.monitor.top_memory_processes[1].cpu_percent,20.0
sections.monitor.top_memory_processes[1].memory_percent,7.55
sections.monitor.top_memory_processes[1].memory_rss,1297612800
sections.monitor.top_memory_processes[2].pid,2288
sections.monitor.top_memory_processes[2].name,web-browser.exe
sections.monitor.top_memory_processes[2].cpu_percent,37.5
sections.monitor.top_memory_processes[2].memory_percent,4.54
sections.monitor.top_memory_processes[2].memory_rss,780140544
sections.monitor.top_memory_processes[3].pid,4312
